epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,239.56,0.77699,0.73154,1.07308,0.64819,0.62597,0.644,0.36991,1.6016,1.59179,2.00384,0.000770034,0.000770034,0.000770034
33,247.288,0.76091,0.75391,1.08165,0.63161,0.55937,0.61147,0.39697,1.40322,1.48939,1.84092,0.000759035,0.000759035,0.000759035
34,254.866,0.77201,0.72893,1.08537,0.76064,0.64709,0.68234,0.40454,1.36581,1.27759,1.7054,0.000748036,0.000748036,0.000748036
35,262.577,0.75339,0.7223,1.076,0.74797,0.61264,0.63855,0.4009,1.39632,1.527,1.7718,0.000737037,0.000737037,0.000737037
36,270.48,0.76216,0.72104,1.07456,0.57464,0.59588,0.57596,0.33785,1.53026,1.56094,1.98256,0.000726038,0.000726038,0.000726038
37,278.306,0.73277,0.68149,1.07654,0.71059,0.60123,0.6613,0.4074,1.38398,1.56994,1.86499,0.00071504,0.00071504,0.00071504
38,286.047,0.7256,0.69045,1.07134,0.73488,0.55836,0.61635,0.36789,1.43199,1.47843,1.93597,0.000704041,0.000704041,0.000704041
39,293.794,0.74239,0.66743,1.06406,0.74538,0.53692,0.65327,0.39241,1.45839,1.50089,2.01674,0.000693042,0.000693042,0.000693042
40,301.447,0.7339,0.67205,1.07422,0.58728,0.54304,0.5647,0.36272,1.5547,1.6843,1.94341,0.000682043,0.000682043,0.000682043
41,309.444,0.72158,0.66139,1.05322,0.82727,0.59543,0.64213,0.42371,1.41685,1.64862,1.78451,0.000671044,0.000671044,0.000671044
42,317.074,0.70755,0.66121,1.0564,0.78429,0.55422,0.66229,0.42372,1.39795,1.34445,1.84127,0.000660045,0.000660045,0.000660045
43,324.799,0.73608,0.67587,1.07705,0.7525,0.52905,0.60571,0.39235,1.37914,1.7351,1.81001,0.000649046,0.000649046,0.000649046
44,333.747,0.68548,0.63796,1.04151,0.69032,0.56375,0.60675,0.34908,1.3473,1.52037,1.74821,0.000638047,0.000638047,0.000638047
45,341.579,0.69211,0.62738,1.03261,0.61142,0.61402,0.63549,0.39993,1.521,1.41001,1.93048,0.000627048,0.000627048,0.000627048
46,349.399,0.69191,0.62126,1.03494,0.60039,0.601,0.62694,0.38919,1.48472,1.41869,2.04943,0.000616049,0.000616049,0.000616049
47,357.428,0.65269,0.59237,0.99896,0.68276,0.52875,0.59571,0.37999,1.42279,1.48381,1.8672,0.000605051,0.000605051,0.000605051
48,365.415,0.65814,0.59637,1.02466,0.80208,0.53139,0.61184,0.38842,1.34458,1.46747,1.80131,0.000594052,0.000594052,0.000594052
49,373.614,0.63262,0.57518,1.01683,0.66708,0.55931,0.60443,0.36337,1.45068,1.47104,1.94927,0.000583053,0.000583053,0.000583053
50,381.638,0.65089,0.57164,1.01498,0.84501,0.54825,0.65308,0.36509,1.56447,1.53472,2.04361,0.000572054,0.000572054,0.000572054
51,389.322,0.64972,0.59101,1.02041,0.63343,0.66786,0.66608,0.39626,1.49374,1.3105,2.01192,0.000561055,0.000561055,0.000561055
52,396.761,0.61973,0.54646,1.01324,0.63514,0.66311,0.66425,0.39824,1.51508,1.39404,1.9949,0.000550056,0.000550056,0.000550056
53,404.139,0.57466,0.53617,0.99795,0.68436,0.65288,0.69139,0.43952,1.34688,1.37188,1.76801,0.000539057,0.000539057,0.000539057
54,411.512,0.61221,0.54557,1.00382,0.76816,0.72788,0.76071,0.4903,1.31073,1.17647,1.78486,0.000528058,0.000528058,0.000528058
55,418.906,0.61497,0.5612,0.99419,0.68899,0.55857,0.66683,0.42139,1.31295,1.41554,1.82356,0.000517059,0.000517059,0.000517059
56,426.267,0.59625,0.52522,1.00384,0.80947,0.66047,0.74743,0.41928,1.47912,1.22716,1.96965,0.00050606,0.00050606,0.00050606
57,433.975,0.58048,0.52297,0.98602,0.70917,0.63217,0.6807,0.413,1.51804,1.55356,1.93445,0.000495062,0.000495062,0.000495062
58,441.569,0.57542,0.50336,0.98106,0.82209,0.62385,0.71037,0.45129,1.39882,1.46728,1.88096,0.000484063,0.000484063,0.000484063
59,449.067,0.5785,0.53055,0.98889,0.7417,0.65828,0.67728,0.38789,1.49287,1.43723,1.98907,0.000473064,0.000473064,0.000473064
60,456.527,0.5699,0.53106,0.97607,0.79491,0.61839,0.68325,0.42091,1.34434,1.45802,1.84681,0.000462065,0.000462065,0.000462065
61,463.878,0.53744,0.48559,0.98163,0.74209,0.62299,0.71919,0.45203,1.4129,1.38446,1.95486,0.000451066,0.000451066,0.000451066
62,471.262,0.54339,0.46947,0.97721,0.63664,0.7059,0.69328,0.40969,1.4618,1.31863,1.95688,0.000440067,0.000440067,0.000440067
63,478.724,0.53947,0.48063,0.97236,0.79842,0.58987,0.68799,0.42566,1.45317,1.23165,1.96565,0.000429068,0.000429068,0.000429068
64,486.148,0.53292,0.46895,0.96957,0.79789,0.69674,0.74937,0.4168,1.58358,1.23135,2.07952,0.000418069,0.000418069,0.000418069
65,493.549,0.56836,0.47597,0.97947,0.6912,0.6844,0.72042,0.41685,1.49889,1.20193,1.99297,0.00040707,0.00040707,0.00040707
66,500.972,0.51475,0.4779,0.96103,0.8443,0.55495,0.69498,0.42768,1.41798,1.33899,1.89314,0.000396071,0.000396071,0.000396071
67,508.454,0.51323,0.44141,0.95135,0.76609,0.57371,0.6834,0.44119,1.40156,1.34136,1.81704,0.000385073,0.000385073,0.000385073
68,516.355,0.50102,0.43678,0.96441,0.86736,0.62982,0.74417,0.48734,1.32667,1.18751,1.83475,0.000374074,0.000374074,0.000374074
69,523.847,0.53248,0.45501,0.96234,0.85934,0.65212,0.74777,0.48893,1.3177,1.12653,1.85809,0.000363075,0.000363075,0.000363075
70,531.213,0.50334,0.43588,0.95417,0.7372,0.73022,0.77828,0.48651,1.37834,1.15812,1.83019,0.000352076,0.000352076,0.000352076
71,538.609,0.49525,0.43409,0.9574,0.80858,0.67233,0.72045,0.4564,1.42429,1.10972,1.94298,0.000341077,0.000341077,0.000341077
72,546.041,0.50023,0.43321,0.94957,0.78097,0.60231,0.68721,0.44897,1.38302,1.39028,1.83488,0.000330078,0.000330078,0.000330078
73,553.335,0.49217,0.4347,0.9543,0.85272,0.56346,0.71505,0.42972,1.40616,1.26297,1.87534,0.000319079,0.000319079,0.000319079
74,560.918,0.49652,0.43678,0.94813,0.76161,0.63662,0.69366,0.44916,1.33334,1.16548,1.83262,0.00030808,0.00030808,0.00030808
75,568.588,0.47787,0.43068,0.9537,0.81895,0.60143,0.72909,0.43936,1.30949,1.21877,1.82283,0.000297081,0.000297081,0.000297081
76,575.966,0.49874,0.43137,0.9495,0.88269,0.63705,0.75803,0.45039,1.30698,1.02369,1.88232,0.000286083,0.000286083,0.000286083
77,583.554,0.47626,0.41493,0.94999,0.78638,0.68019,0.74059,0.45261,1.38425,1.07588,1.96252,0.000275084,0.000275084,0.000275084
78,591.13,0.47219,0.40363,0.93538,0.81833,0.67645,0.75504,0.46184,1.27279,1.06228,1.85561,0.000264085,0.000264085,0.000264085
79,598.597,0.45747,0.39785,0.94541,0.73264,0.63272,0.69963,0.4515,1.3367,1.15642,1.90543,0.000253086,0.000253086,0.000253086
80,606.036,0.45899,0.39339,0.9311,0.74773,0.66008,0.73908,0.44575,1.33189,1.12749,1.86538,0.000242087,0.000242087,0.000242087
81,614.017,0.44851,0.3972,0.93377,0.76705,0.73007,0.72887,0.42236,1.3584,1.16777,1.93969,0.000231088,0.000231088,0.000231088
82,621.776,0.4702,0.40118,0.93581,0.7749,0.68017,0.72183,0.43956,1.38384,1.16162,1.93635,0.000220089,0.000220089,0.000220089
83,629.536,0.45188,0.3811,0.93822,0.85747,0.61415,0.70773,0.43027,1.33479,1.26331,1.89352,0.00020909,0.00020909,0.00020909
84,637.405,0.42377,0.36528,0.92282,0.86724,0.6257,0.74953,0.45886,1.3146,1.11522,1.87276,0.000198091,0.000198091,0.000198091
85,645.307,0.44894,0.39869,0.93224,0.8428,0.72503,0.77587,0.50211,1.26614,1.06383,1.78549,0.000187092,0.000187092,0.000187092
86,653.126,0.41966,0.3622,0.91748,0.84903,0.67968,0.74768,0.47303,1.26169,1.08382,1.78592,0.000176094,0.000176094,0.000176094
87,660.905,0.41808,0.36331,0.92605,0.72976,0.68118,0.72343,0.43911,1.34082,1.25415,1.86617,0.000165095,0.000165095,0.000165095
88,668.765,0.40579,0.3585,0.91566,0.76929,0.65747,0.75029,0.4626,1.2963,1.21109,1.79871,0.000154096,0.000154096,0.000154096
89,676.489,0.39942,0.35336,0.91816,0.92294,0.60078,0.76512,0.47829,1.26674,1.13982,1.77465,0.000143097,0.000143097,0.000143097
90,684.46,0.41605,0.3773,0.9232,0.87053,0.61956,0.75141,0.50059,1.25907,1.12832,1.80553,0.000132098,0.000132098,0.000132098
91,717.799,0.33979,0.32439,0.85446,0.78914,0.66355,0.75171,0.47303,1.34682,1.11374,1.87309,0.000121099,0.000121099,0.000121099
92,726.043,0.33234,0.30119,0.83377,0.74478,0.70089,0.75486,0.47533,1.31692,1.11783,1.8375,0.0001101,0.0001101,0.0001101
93,734.56,0.33354,0.2869,0.83503,0.89839,0.66475,0.78335,0.46881,1.32481,1.1601,1.87741,9.91012e-05,9.91012e-05,9.91012e-05
94,742.828,0.31481,0.27898,0.84102,0.83522,0.64287,0.75046,0.4664,1.27212,1.13584,1.81803,8.81023e-05,8.81023e-05,8.81023e-05
95,751.681,0.31632,0.27098,0.82794,0.83844,0.62951,0.75606,0.46808,1.27093,1.11709,1.83077,7.71034e-05,7.71034e-05,7.71034e-05
96,759.407,0.30542,0.26652,0.82201,0.7784,0.68325,0.77196,0.47907,1.28163,1.10407,1.83503,6.61045e-05,6.61045e-05,6.61045e-05
97,766.887,0.28838,0.25834,0.83104,0.76255,0.67777,0.76984,0.46524,1.29514,1.12793,1.84498,5.51056e-05,5.51056e-05,5.51056e-05
98,774.516,0.30022,0.26456,0.82994,0.84597,0.61484,0.77875,0.47443,1.29814,1.10735,1.85784,4.41067e-05,4.41067e-05,4.41067e-05
99,782.063,0.29081,0.2617,0.82656,0.77485,0.66298,0.77469,0.47558,1.31293,1.1204,1.86277,3.31078e-05,3.31078e-05,3.31078e-05
100,789.693,0.28926,0.26142,0.83543,0.7683,0.66406,0.76978,0.48022,1.32031,1.11185,1.87842,2.21089e-05,2.21089e-05,2.21089e-05
